번호,RMS ID,현장명,대수,전화번호,비고,,횟수,,시작시간,종료시간
994, 17-000434, 분당수지유타워, , 012-2468-1152, RMSDAS 접속 시간 초과(45초), , 5, , 0629 090159, 0629 090247
995, 17-000434, 분당수지유타워, , 012-2468-1152, RMSDAS 접속 시간 초과(45초), , 5, , 0629 090248, 0629 090333
999, 18-002497, 백현동대한예수교장로회흰돌교회(흰돌아트, , 012-2004-3442, RMSDAS 접속 시간 초과(45초), , 5, , 0629 090334, 0629 090419
1001, 19-003064, 동탄2신도시스마트시티오피스텔(영천동 679, , 012-2084-3473, RMSDAS 접속 시간 초과(45초), , 5, , 0629 090420, 0629 090505
1003, 19-002062, 화성동탄더레이크시티부영6단지(A75BL부영), , 012-2008-0914, RMSDAS 접속 시간 초과(45초), , 5, , 0629 090506, 0629 090551
1004, 19-002062, 화성동탄더레이크시티부영6단지(A75BL부영), , 012-2008-0914, RMSDAS 접속 시간 초과(45초), , 5, , 0629 090552, 0629 090638
1007, 16-004204, 금하골든타운, , 012-2450-0214, RMSDAS 접속 시간 초과(45초), , 5, , 0629 090639, 0629 090725
1008, 17-500014, 우양에이치씨(주)관리동, , 012-2474-1274, RMSDAS 접속 시간 초과(45초), , 5, , 0629 090726, 0629 090812
1013, 14-039511, 한남동세종가든, , 012-2017-2531, RMSDAS 접속 시간 초과(45초), , 5, , 0629 090812, 0629 090859
1014, 16-002583, 용산동부센트레빌아스테리움, , 012-2434-1392, RMSDAS 접속 시간 초과(45초), , 5, , 0629 090859, 0629 090948
1015, 16-002583, 용산동부센트레빌아스테리움, , 012-2434-1392, RMSDAS 접속 시간 초과(45초), , 5, , 0629 090948, 0629 091034
1016, 16-002583, 용산동부센트레빌아스테리움, , 012-2434-1392, RMSDAS 접속 시간 초과(45초), , 5, , 0629 091035, 0629 091121
1017, 16-002583, 용산동부센트레빌아스테리움, , 012-2434-1392, RMSDAS 접속 시간 초과(45초), , 5, , 0629 091122, 0629 091208
1018, 16-002584, 용산동부센트레빌아스테리움, , 012-2434-1393, RMSDAS 접속 시간 초과(45초), , 5, , 0629 091209, 0629 091256
1019, 16-002584, 용산동부센트레빌아스테리움, , 012-2434-1393, RMSDAS 접속 시간 초과(45초), , 5, , 0629 091258, 0629 091344
1020, 16-002737, 노고산동사랑채[노고산동54-50고시원], , 012-2070-7216, RMSDAS 접속 시간 초과(45초), , 5, , 0629 091345, 0629 091431
1021, 18-004652, 마포동옵티마성형외과, , 012-2058-8399, RMSDAS 접속 시간 초과(45초), , 5, , 0629 091431, 0629 091518
1023, 14-056711, 삼선동회경빌딩(세경빌딩), , 012-2017-4964, RMSDAS 접속 시간 초과(45초), , 5, , 0629 091518, 0629 091604
1027, 14-122321, 광희동이비스버젯앰배서더, , 012-2056-1471, RMSDAS 접속 시간 초과(45초), , 5, , 0629 091605, 0629 091651
1028, 14-122321, 광희동이비스버젯앰배서더, , 012-2056-1471, RMSDAS 접속 시간 초과(45초), , 5, , 0629 091652, 0629 091738
1029, 14-065632, 금호동자이1차아파트, , 012-2008-4590, RMSDAS 접속 시간 초과(45초), , 5, , 0629 091739, 0629 091825
1030, 14-065632, 금호동자이1차아파트, , 012-2008-4590, RMSDAS 접속 시간 초과(45초), , 5, , 0629 091826, 0629 091912
1031, 14-065632, 금호동자이1차아파트, , 012-2008-4590, RMSDAS 접속 시간 초과(45초), , 5, , 0629 091913, 0629 091959
1032, 14-065632, 금호동자이1차아파트, , 012-2008-4590, RMSDAS 접속 시간 초과(45초), , 5, , 0629 092000, 0629 092048
1033, 14-065632, 금호동자이1차아파트, , 012-2008-4590, RMSDAS 접속 시간 초과(45초), , 5, , 0629 092049, 0629 092135
1034, 14-065632, 금호동자이1차아파트, , 012-2008-4590, RMSDAS 접속 시간 초과(45초), , 5, , 0629 092135, 0629 092221
1035, 14-065632, 금호동자이1차아파트, , 012-2008-4590, RMSDAS 접속 시간 초과(45초), , 5, , 0629 092222, 0629 092308
1036, 14-065632, 금호동자이1차아파트, , 012-2008-4590, RMSDAS 접속 시간 초과(45초), , 5, , 0629 092309, 0629 092355
1043, 15-002233, 케이게스트하우스명동3[명동2가25-26](K-GU, , 012-2069-1216, RMSDAS 접속 시간 초과(45초), , 5, , 0629 093210, 0629 093256
1046, 16-004181, 용답동서희스타힐스, , 012-2072-0725, RMSDAS 접속 시간 초과(45초), , 5, , 0629 093257, 0629 093343
1047, 17-000899, 창신동283, , 012-2072-0181, RMSDAS 접속 시간 초과(45초), , 5, , 0629 093344, 0629 093433
1052, 17-003835, E7플레이스, , 012-2446-3059, RMSDAS 접속 시간 초과(45초), , 5, , 0629 093435, 0629 093524
1069, 14-009712, 서울도봉동북부지방법원청사, , 012-2013-1149, RMSDAS 접속 시간 초과(45초), , 5, , 0629 093525, 0629 093613
1070, 14-009712, 서울도봉동북부지방법원청사, , 012-2013-1149, RMSDAS 접속 시간 초과(45초), , 5, , 0629 093614, 0629 093700
1071, 14-040011, 우이동화성빌딩, , 012-2012-2532, RMSDAS 접속중 서버 연결 해제, , 5, , 0629 093701, 0629 093714
1072, 14-065021, 의정부아토팰리스, , 012-2011-4589, RMSDAS 접속 시간 초과(45초), , 5, , 0629 093715, 0629 093818
1073, 15-000239, 호원동빌라신축(푸름빌), , 012-2052-6376, RMSDAS 접속 시간 초과(45초), , 5, , 0629 093819, 0629 093907
1076, 16-001737, 중계동중계빌딩(제이스크린골프), , 012-2425-3241, RMSDAS 접속 시간 초과(45초), , 5, , 0629 093909, 0629 093955
1084, 14-087611, 노원구공릉동지암빌딩, , 012-2016-7709, RMSDAS 접속 시간 초과(45초), , 5, , 0629 093956, 0629 094044
1087, 16-004169, 공릉동431-1(이지원), , 012-2085-2811, RMSDAS 접속 시간 초과(45초), , 5, , 0629 094045, 0629 094132
1088, 20-000591, 하모아빌(묵동238-112), , 012-2098-6124, RMSDAS 접속 시간 초과(45초), , 5, , 0629 094133, 0629 094219
1089, 16-003434, 미아동235-61.62(대원빌), , 012-2447-1402, RMSDAS 접속 시간 초과(45초), , 5, , 0629 094220, 0629 094307
1090, 17-001408, 미아동305-6근생, , 012-2072-0175, RMSDAS 접속 시간 초과(45초), , 5, , 0629 094308, 0629 094354
1094, 18-000779, 묵동248-96, , 012-2452-4668, RMSDAS 접속 시간 초과(45초), , 5, , 0629 094355, 0629 094443
1095, 18-002619, 공릉동621-6, , 012-2476-2272, RMSDAS 접속중 서버 연결 해제, , 5, , 0629 094445, 0629 094524
1098, 14-123811, 목동제일교회, , 012-2057-1707, 서버 연결 실패, , 5, , 0629 094528, 0629 094807
1100, 14-114711, 등촌동대오빌(태호빌딩), , 012-2056-0810, RMSDAS 접속중 서버 연결 해제, , 5, , 0629 095014, 0629 095117
1105, 15-001824, 신월동18근생(우현스카이빌), , 012-2083-0216, RMSDAS 접속중 서버 연결 해제, , 5, , 0629 095130, 0629 095233
1123, 17-003028, 목동수팰리스, , 012-2442-2018, RMSDAS 접속중 서버 연결 해제, , 5, , 0629 095247, 0629 095350
1133, 19-001239, 마곡주차빌딩(스프링파크타워), , 012-2012-0860, RMSDAS 접속중 서버 연결 해제, , 5, , 0629 095403, 0629 095506
1135, 16-000513, 문봉동근린생활시설(현주빌딩)(현주종합건, , 012-2048-5926, RMSDAS 접속 시간 초과(45초), , 5, , 0629 095515, 0629 095601
1136, 17-002890, 식사동유인빌딩, , 012-2430-1315, RMSDAS 접속 시간 초과(45초), , 5, , 0629 095610, 0629 095659
1138, 20-000214, 용현동565-41(풍경채), , 012-2044-3758, RMSDAS 접속 시간 초과(45초), , 5, , 0629 095701, 0629 095750
1149, 18-003786, 인현동1-400, , 012-2448-1417, RMSDAS 접속 시간 초과(45초), , 5, , 0629 095752, 0629 095840
1153, 19-000914, 숭의동341-30(더젠시티), , 012-2476-2102, RMSDAS 접속 시간 초과(45초), , 5, , 0629 095842, 0629 095930
1156, 15-500015, 십정동목동휘버스APT(장미연립)[식별번호:3, , 012-2041-0763, RMSDAS 접속 시간 초과(45초), , 5, , 0629 095932, 0629 100019
1157, 15-500014, 십정동목동휘버스APT(장미연립)[식별번호:3, , 012-2041-0764, RMSDAS 접속 시간 초과(45초), , 5, , 0629 100021, 0629 100109
1158, 15-500013, 십정동목동휘버스APT(장미연립)[식별번호:3, , 012-2059-8416, RMSDAS 접속 시간 초과(45초), , 5, , 0629 100111, 0629 100200
1168, 19-000190, M-김해주촌삼정그린코아(김해센텀Q시티), , 012-2200-8388, RMSDAS 접속 시간 초과(45초), , 5, , 0629 100202, 0629 100250
1169, 19-000190, M-김해주촌삼정그린코아(김해센텀Q시티), , 012-2200-8388, RMSDAS 접속 시간 초과(45초), , 5, , 0629 100252, 0629 100340
1170, 19-000190, M-김해주촌삼정그린코아(김해센텀Q시티), , 012-2200-8388, RMSDAS 접속 시간 초과(45초), , 5, , 0629 100342, 0629 100430
1171, 19-000190, M-김해주촌삼정그린코아(김해센텀Q시티), , 012-2200-8388, RMSDAS 접속중 서버 연결 해제, , 5, , 0629 100431, 0629 100438
1172, 19-000190, M-김해주촌삼정그린코아(김해센텀Q시티), , 012-2200-8388, RMSDAS 접속 시간 초과(45초), , 5, , 0629 100439, 0629 100527
1173, 19-000190, M-김해주촌삼정그린코아(김해센텀Q시티), , 012-2200-8388, RMSDAS 접속 시간 초과(45초), , 5, , 0629 100528, 0629 100616
1174, 19-000190, M-김해주촌삼정그린코아(김해센텀Q시티), , 012-2200-8388, RMSDAS 접속 시간 초과(45초), , 5, , 0629 100617, 0629 100705
1175, 19-000190, M-김해주촌삼정그린코아(김해센텀Q시티), , 012-2200-8388, RMSDAS 접속 시간 초과(45초), , 5, , 0629 100706, 0629 100754
1191, 14-003622, 범어역우방유쉘, , 012-2016-0676, RMSDAS 접속 시간 초과(45초), , 5, , 0629 100755, 0629 100843
1192, 15-000534, 신암동근린생활시설(강산해피타운), , 012-2059-8419, RMSDAS 접속 시간 초과(45초), , 5, , 0629 100844, 0629 100932
1193, 15-001570, 우리펠리스, , 012-2080-1304, RMSDAS 접속 시간 초과(45초), , 5, , 0629 100933, 0629 101021
1195, 16-000575, 한국건강관리협회 대구지부, , 012-2048-5968, RMSDAS 접속 시간 초과(45초), , 5, , 0629 101022, 0629 101110
1196, 16-002130, 동대구역종사원숙소(코레일빌), , 012-2041-5108, RMSDAS 접속 시간 초과(45초), , 5, , 0629 101111, 0629 101159
1197, 14-024722, 범어숲화성파크드림S, , 012-2011-1965, RMSDAS 접속 시간 초과(45초), , 5, , 0629 101159, 0629 101248
1198, 14-024722, 범어숲화성파크드림S, , 012-2011-1965, RMSDAS 접속 시간 초과(45초), , 5, , 0629 101249, 0629 101337
1199, 14-024722, 범어숲화성파크드림S, , 012-2011-1965, RMSDAS 접속 시간 초과(45초), , 5, , 0629 101338, 0629 101426
1200, 14-024722, 범어숲화성파크드림S, , 012-2011-1965, RMSDAS 접속 시간 초과(45초), , 5, , 0629 101426, 0629 101515
1202, 17-001553, 효목동354-2주상복합(아인스), , 012-2427-5125, RMSDAS 접속 시간 초과(45초), , 5, , 0629 101515, 0629 101603
1207, 14-107111, 노마즈하우스주상복합신축공사, , 012-2055-0794, RMSDAS 접속 시간 초과(45초), , 5, , 0629 101604, 0629 101652
1208, 14-107111, 노마즈하우스주상복합신축공사, , 012-2055-0794, RMSDAS 접속 시간 초과(45초), , 5, , 0629 101653, 0629 101741
1209, 14-107111, 노마즈하우스주상복합신축공사, , 012-2055-0794, RMSDAS 접속 시간 초과(45초), , 5, , 0629 101742, 0629 101830
1210, 14-107111, 노마즈하우스주상복합신축공사, , 012-2055-0794, RMSDAS 접속 시간 초과(45초), , 5, , 0629 101831, 0629 101920
1217, 15-000535, 칠성동1가근린생활시설(굿모닝메디타워), , 012-2070-8419, RMSDAS 접속 시간 초과(45초), , 5, , 0629 101920, 0629 102008
1218, 15-000535, 칠성동1가근린생활시설(굿모닝메디타워), , 012-2070-8419, RMSDAS 접속 시간 초과(45초), , 5, , 0629 102009, 0629 102057
1220, 15-001867, 다보정사(평리동846-46), , 012-2083-0261, RMSDAS 접속 시간 초과(45초), , 5, , 0629 102058, 0629 102146
1224, 16-000183, 동인동362번지단독주택(스케치하우스), , 012-2097-3054, RMSDAS 접속 시간 초과(45초), , 5, , 0629 102147, 0629 102235
1226, 16-000568, 동인동4가475-2근생(진성빌딩), , 012-2048-5962, RMSDAS 접속 시간 초과(45초), , 5, , 0629 102236, 0629 102324
1228, 16-002024, 대명동648-3다세대(대명아트빌), , 012-2067-2316, RMSDAS 접속 시간 초과(45초), , 5, , 0629 102325, 0629 102413
1231, 16-004111, 대명동3029-42아파트신축(노블캐슬), , 012-2048-6640, RMSDAS 접속 시간 초과(45초), , 5, , 0629 102414, 0629 102502
1234, 17-001970, 남성로2-1근린생활시설, , 012-2425-2057, RMSDAS 접속 시간 초과(45초), , 5, , 0629 102503, 0629 102551
1235, 17-001978, 두류동106-21다가구주택신축공사(뉴위너스, , 012-2425-2062, RMSDAS 접속 시간 초과(45초), , 5, , 0629 102552, 0629 102640
1237, 17-004706, 대명동1692-2공동주택(성호빌라트), , 012-2014-4878, RMSDAS 접속 시간 초과(45초), , 5, , 0629 102641, 0629 102729
1238, 18-000030, BIMS재건병원(동화빌딩), , 012-2057-4469, RMSDAS 접속 시간 초과(45초), , 5, , 0629 102730, 0629 102818
1239, 18-000403, 남산동2501-15근생, , 012-2476-3932, RMSDAS 접속 시간 초과(45초), , 5, , 0629 102819, 0629 102907
1242, 18-003478, 남산동688-5근생, , 012-2400-1664, RMSDAS 접속 시간 초과(45초), , 5, , 0629 102908, 0629 102956
1244, 19-000796, 원대동1가68근생및다세대, , 012-2010-3542, RMSDAS 접속 시간 초과(45초), , 5, , 0629 102957, 0629 103045
1245, 15-000775, 모인프라자, , 012-2079-0873, RMSDAS 접속 시간 초과(45초), , 5, , 0629 103046, 0629 103134
1249, 16-001156, 신서동1162-10주차장시설, , 012-2421-4119, RMSDAS 접속 시간 초과(45초), , 5, , 0629 103135, 0629 103223
1254, 17-003573, 율하동247-5다가구주택, , 012-2452-4386, RMSDAS 접속 시간 초과(45초), , 5, , 0629 103224, 0629 103312
1255, 19-000801, 동호동132-17다가구주택신축공사(아름드리), , 012-2068-0672, RMSDAS 접속 시간 초과(45초), , 5, , 0629 103313, 0629 103401
1257, 18-002717, 신기동550-8단독주택(프라하), , 012-2498-2419, RMSDAS 접속 시간 초과(45초), , 5, , 0629 103402, 0629 103450
1262, 19-002754, BIFC 2단계 (M-BIFC2단계)(1공구)(2공구), , 012-2068-2581, RMSDAS 접속 시간 초과(45초), , 5, , 0629 103451, 0629 103539
1263, 19-002754, BIFC 2단계 (M-BIFC2단계)(1공구)(2공구), , 012-2068-2581, RMSDAS 접속 시간 초과(45초), , 5, , 0629 103540, 0629 103628
1264, 19-002754, BIFC 2단계 (M-BIFC2단계)(1공구)(2공구), , 012-2068-2581, RMSDAS 접속 시간 초과(45초), , 5, , 0629 103629, 0629 103717
1265, 19-002754, BIFC 2단계 (M-BIFC2단계)(1공구)(2공구), , 012-2068-2581, RMSDAS 접속 시간 초과(45초), , 5, , 0629 103718, 0629 103808
1269, 16-000976, 효자동윤선빌딩, , 012-2403-4219, RMSDAS 접속 시간 초과(45초), , 5, , 0629 103809, 0629 103857
1271, 18-001375, 평화동1가713-7다가구, , 012-2045-6123, RMSDAS 접속 시간 초과(45초), , 5, , 0629 103858, 0629 103946
1272, 18-000698, 평화동1가712-2근생(케이에스피빌딩), , 012-2012-2864, RMSDAS 접속 시간 초과(45초), , 5, , 0629 103946, 0629 104035
1274, 18-002745, 고사동원진빌딩(하나증권), , 012-2112-3748, RMSDAS 접속 시간 초과(45초), , 5, , 0629 104036, 0629 104124
1279, 18-004584, 평화동1가718-5근생, , 012-2043-9005, RMSDAS 접속 시간 초과(45초), , 5, , 0629 104124, 0629 104213
1281, 18-004825, 덕진동1가1119-12다가구, , 012-2010-3516, RMSDAS 접속 시간 초과(45초), , 5, , 0629 104213, 0629 104301
1283, 19-000756, 금암동530-8다가구주택, , 012-2014-8164, RMSDAS 접속 시간 초과(45초), , 5, , 0629 104302, 0629 104350
1285, 19-001281, 중화산동2가571-3근생, , 012-2009-1629, RMSDAS 접속 시간 초과(45초), , 5, , 0629 104351, 0629 104439
1287, 19-001279, 만성동1360-6근생, , 012-2058-6078, RMSDAS 접속 시간 초과(45초), , 5, , 0629 104440, 0629 104528
1288, 19-002024, 금암동1585-34다가구, , 012-2010-3692, RMSDAS 접속 시간 초과(45초), , 5, , 0629 104529, 0629 104617
1290, 19-002030, 중화산동1가162-29다가구, , 012-2080-7592, RMSDAS 접속 시간 초과(45초), , 5, , 0629 104618, 0629 104706
1291, 19-002944, 금암동768-7근생, , 012-2017-4287, RMSDAS 접속 시간 초과(45초), , 5, , 0629 104707, 0629 104755
1294, 14-011011, 제주권역재활병원(제주재활전문병원), , 012-2004-1143, RMSDAS 접속 시간 초과(45초), , 5, , 0629 104756, 0629 104844
1296, 15-002747, 동홍동지예타워5(V)차, , 012-2087-4530, RMSDAS 접속 시간 초과(45초), , 5, , 0629 104845, 0629 104933
1298, 16-000846, 신효동라움하우스, , 012-2043-4514, RMSDAS 접속 시간 초과(45초), , 5, , 0629 104934, 0629 105022
1299, 16-001366, 가온빌1차(표선리1014-2다가구), , 012-2424-0374, RMSDAS 접속 시간 초과(45초), , 5, , 0629 105023, 0629 105112
1300, 16-002031, 동홍동 60-10주상복합, , 012-2089-2043, RMSDAS 접속 시간 초과(45초), , 5, , 0629 105113, 0629 105159
1304, 16-004325, 서귀동446-3근생, , 012-2400-2459, RMSDAS 접속 시간 초과(45초), , 5, , 0629 105200, 0629 105248
1306, 17-000568, 신효동268-1도시형생활주택, , 012-2098-5960, RMSDAS 접속 시간 초과(45초), , 5, , 0629 105249, 0629 105337
1307, 17-001482, 하늘채(표선리952-3(A)), , 012-2421-3416, RMSDAS 접속 시간 초과(45초), , 5, , 0629 105338, 0629 105426
1308, 17-002645, 하효동475빌라(가온누리), , 012-2427-5215, RMSDAS 접속 시간 초과(45초), , 5, , 0629 105427, 0629 105515
1312, 17-004763, 비치빌(표선리856-1다가구), , 012-2470-1268, RMSDAS 접속 시간 초과(45초), , 5, , 0629 105516, 0629 105604
1313, 18-001757, 남원리214-7근생, , 012-2045-4283, RMSDAS 접속 시간 초과(45초), , 5, , 0629 105605, 0629 105651
1314, 18-002301, 서귀동759-9, , 012-2474-4778, RMSDAS 접속 시간 초과(45초), , 5, , 0629 105652, 0629 105741
1316, 18-003466, 서귀포의아침(호근동도시형생활주택), , 012-2055-4079, RMSDAS 접속 시간 초과(45초), , 5, , 0629 105742, 0629 105830
1317, 19-001229, 서호동다가구, , 012-2005-3124, RMSDAS 접속 시간 초과(45초), , 5, , 0629 105831, 0629 105919
1320, 19-001671, 서홍동443-3근생, , 012-2015-3115, RMSDAS 접속 시간 초과(45초), , 5, , 0629 105920, 0629 110008
1321, 15-000119, 경평타운(김형용외1인다가구), , 012-2054-3668, RMSDAS 접속 시간 초과(45초), , 5, , 0629 110009, 0629 110057
1322, 15-000470, 오등동아정펠리즈(아정빌), , 012-2054-8385, RMSDAS 접속 시간 초과(45초), , 5, , 0629 110058, 0629 110146
1323, 15-001086, 오등동아정펠리즈(아정빌), , 012-2041-0694, RMSDAS 접속 시간 초과(45초), , 5, , 0629 110147, 0629 110235
1324, 16-001339, 노형동뉴타운연립주택(스위트빌라), , 012-2045-2753, RMSDAS 접속 시간 초과(45초), , 5, , 0629 110236, 0629 110324
1325, 16-500048, 이도동하나APT, , 012-2006-0682, RMSDAS 접속 시간 초과(45초), , 5, , 0629 110325, 0629 110413
1326, 16-002007, 우리빌딩(아라일동 6135-3다가구), , 012-2081-0893, RMSDAS 접속 시간 초과(45초), , 5, , 0629 110414, 0629 110502
1327, 16-002008, 고마로다가구, , 012-2084-2981, RMSDAS 접속 시간 초과(45초), , 5, , 0629 110503, 0629 110551
1328, 16-003351, 센트레파크, , 012-2051-1466, RMSDAS 접속 시간 초과(45초), , 5, , 0629 110552, 0629 110641
1329, 16-003346, 노형동탐라빌(노형아이탐라), , 012-2072-0410, RMSDAS 접속 시간 초과(45초), , 5, , 0629 110644, 0629 110731
1331, 16-003837, 채연하우스(아라1동 6153-6 다세대), , 012-2097-0940, RMSDAS 접속 시간 초과(45초), , 5, , 0629 110732, 0629 110823
1332, 16-003836, 제주영롱가(아라일동1814번지근생), , 012-2009-6794, RMSDAS 접속 시간 초과(45초), , 5, , 0629 110824, 0629 110912
1333, 16-500047, 제주폐기물소각시설(회천환경관리), , 012-2425-3270, RMSDAS 접속 시간 초과(45초), , 5, , 0629 110913, 0629 111001
1335, 17-002763, 벽강하이본타워(오라동공동주택및오피스텔), , 012-2055-2316, RMSDAS 접속 시간 초과(45초), , 5, , 0629 111001, 0629 111049
1336, 17-002765, 벽강하이본타워(오라동공동주택및오피스텔), , 012-2002-3740, RMSDAS 접속 시간 초과(45초), , 5, , 0629 111050, 0629 111138
1337, 17-002766, 벽강하이본타워(오라동공동주택및오피스텔), , 012-2002-4288, RMSDAS 접속 시간 초과(45초), , 5, , 0629 111139, 0629 111227
1338, 17-002807, 아라일동6113-12다가구, , 012-2404-5462, RMSDAS 접속 시간 초과(45초), , 5, , 0629 111228, 0629 111316
1339, 17-003464, 아라일동근생 및 다가구, , 012-2404-5459, RMSDAS 접속 시간 초과(45초), , 5, , 0629 111316, 0629 111405
1341, 17-003671, 노형휴스토리1차, , 012-2425-1885, RMSDAS 접속 시간 초과(45초), , 5, , 0629 111405, 0629 111453
1342, 17-003674, 노형휴스토리1차, , 012-2425-1973, RMSDAS 접속 시간 초과(45초), , 5, , 0629 111454, 0629 111542
1344, 17-004252, 도련아르미아아파트, , 012-2006-4560, RMSDAS 접속 시간 초과(45초), , 5, , 0629 111543, 0629 111631
1346, 17-005401, 금성(노형동3796-10다가구(나동)), , 012-2467-1094, RMSDAS 접속 시간 초과(45초), , 5, , 0629 111631, 0629 111719
1347, 18-001107, 레아하우소(도남동915-15다가구), , 012-2011-6827, RMSDAS 접속 시간 초과(45초), , 5, , 0629 111720, 0629 111808
1348, 18-001950, 에코아바, , 012-2404-5082, RMSDAS 접속 시간 초과(45초), , 5, , 0629 111809, 0629 111857
1351, 18-003228, 이도이동1978-7근생및다가구, , 012-2052-5758, RMSDAS 접속 시간 초과(45초), , 5, , 0629 111858, 0629 111946
1352, 18-004145, 아라펠리즈2차(아라1동6107-25), , 012-2424-8411, RMSDAS 접속 시간 초과(45초), , 5, , 0629 111946, 0629 112035
1353, 18-004299, 아라일동6107-19다가구및근생, , 012-2010-3863, RMSDAS 접속 시간 초과(45초), , 5, , 0629 112035, 0629 112123
1355, 19-000162, 도남동343-8근생및다가구, , 012-2006-6118, RMSDAS 접속 시간 초과(45초), , 5, , 0629 112124, 0629 112212
1356, 19-000348, 아라이동1583-11, , 012-2011-1888, RMSDAS 접속 시간 초과(45초), , 5, , 0629 112213, 0629 112301
1357, 19-001688, 아라이동2427-8다가구, , 012-2014-1611, RMSDAS 접속 시간 초과(45초), , 5, , 0629 112301, 0629 112350
1358, 19-001692, 봉개갤럭시타운1차, , 012-2009-2149, RMSDAS 접속 시간 초과(45초), , 5, , 0629 112350, 0629 112438
1360, 14-092211, 경성만두요리전문점(성경만두), , 012-2012-7716, RMSDAS 접속 시간 초과(45초), , 5, , 0629 112439, 0629 112527
1365, 15-000342, 신방동1710, , 012-2056-7228, RMSDAS 접속 시간 초과(45초), , 5, , 0629 112528, 0629 112616
1366, 15-000945, 차암동505, , 012-2040-0398, RMSDAS 접속 시간 초과(45초), , 5, , 0629 112616, 0629 112704
1385, 17-001941, 아산테크노벨리이지더원3단지아파트, , 012-2430-3200, RMSDAS 접속 시간 초과(45초), , 5, , 0629 112705, 0629 112753
1386, 17-001941, 아산테크노벨리이지더원3단지아파트, , 012-2430-3200, RMSDAS 접속 시간 초과(45초), , 5, , 0629 112754, 0629 112842
1387, 17-001941, 아산테크노벨리이지더원3단지아파트, , 012-2430-3200, RMSDAS 접속 시간 초과(45초), , 5, , 0629 112843, 0629 112931
1389, 18-000690, 천안불당1차우미린아파트(린스트라우스), , 012-2053-4566, RMSDAS 접속 시간 초과(45초), , 5, , 0629 112931, 0629 113020
1391, 19-000412, 불당동1843 근생, , 012-2040-7972, RMSDAS 접속 시간 초과(45초), , 5, , 0629 113020, 0629 113108
1395, 14-046711, 봉명동유원에듀센터(엘키즈트루웰브), , 012-2019-4202, RMSDAS 접속 시간 초과(45초), , 5, , 0629 113109, 0629 113157
1396, 14-092421, 두정동1332외1필지주상복합신축공사, , 012-2015-7716, RMSDAS 접속 시간 초과(45초), , 5, , 0629 113158, 0629 113246
1402, 15-000949, 새한환경소각시설, , 012-2040-0402, RMSDAS 접속 시간 초과(45초), , 5, , 0629 113246, 0629 113335
1403, 15-000366, 두정동근생증축공사(남빌딩), , 012-2053-7706, RMSDAS 접속 시간 초과(45초), , 5, , 0629 113335, 0629 113423
1405, 15-001517, 브릿지빌, , 012-2044-6171, RMSDAS 접속 시간 초과(45초), , 5, , 0629 113424, 0629 113512
1406, 15-002200, 천안세무서신축현장, , 012-2069-1153, RMSDAS 접속 시간 초과(45초), , 5, , 0629 113513, 0629 113601
1408, 16-000126, 신한생명천안연수원, , 012-2097-2925, RMSDAS 접속 시간 초과(45초), , 5, , 0629 113601, 0629 113649
1411, 16-002911, 용암리60-5주택, , 012-2079-5068, RMSDAS 접속 시간 초과(45초), , 5, , 0629 113650, 0629 113738
1412, 16-002906, 신부동269-18, , 012-2045-2805, RMSDAS 접속 시간 초과(45초), , 5, , 0629 113739, 0629 113827
1413, 16-000157, 천안SM빌딩, , 012-2097-2953, RMSDAS 접속 시간 초과(45초), , 5, , 0629 113827, 0629 113916
1416, 17-002727, D33-저리38-6노유자시설, , 012-2442-2601, RMSDAS 접속 시간 초과(45초), , 5, , 0629 113916, 0629 114004
1417, 17-003325, 저리319-35(드림하우스), , 012-2099-7087, RMSDAS 접속 시간 초과(45초), , 5, , 0629 114005, 0629 114053
1420, 18-003148, 병천리278외4필지, , 012-2498-2275, RMSDAS 접속 시간 초과(45초), , 5, , 0629 114054, 0629 114142
1421, 18-004641, 청당동519, , 012-2051-1411, RMSDAS 접속 시간 초과(45초), , 5, , 0629 114142, 0629 114231
1423, 19-000468, 운전리70-4, , 012-2041-1587, RMSDAS 접속 시간 초과(45초), , 5, , 0629 114231, 0629 114319
1424, 19-001006, 천안여자중학교2호기(D-천안여중), , 012-2006-3060, RMSDAS 접속 시간 초과(45초), , 5, , 0629 114320, 0629 114408
1425, 19-002795, 치평동유흥빌딩(유흥타운), , 012-2041-0614, RMSDAS 접속 시간 초과(45초), , 5, , 0629 114409, 0629 114457
1429, 19-001424, 농성동 제이스타디움, , 012-2015-4283, RMSDAS 접속 시간 초과(45초), , 5, , 0629 114457, 0629 114545
1, 14-007311, 큐트빌(삼성동119-13근생), , 012-2015-0675, OK - 다운로드 성공 - 대수 불일치 : 1, D:\SMART Program\TKSR_RMS DownLoader\Data\2005\14-007311_2005.001, 1, , 0626 165332, 0626 165454
2, 19-003365, 양재동314-7근생(화일빌딩), , 012-2009-4199, OK - 다운로드 성공 - 대수 불일치 : 1, D:\SMART Program\TKSR_RMS DownLoader\Data\2005\19-003365_2005.001, 1, , 0626 165454, 0626 165601
3, 14-098411, 청담동 19-4근생(cs빌딩).(씨에스빌딩), , 012-2019-8981, OK - 다운로드 성공 - 대수 불일치 : 1, D:\SMART Program\TKSR_RMS DownLoader\Data\2005\14-098411_2005.001, 1, , 0626 165602, 0626 165719
